"Session code","Participant code","App name","Round number","Page name","Focused time","Unfocused time","Focused+unfocused"

	wyk984vb,tw0j5jja,misinfoNet,4,table,0:00:03.955000,0:00:00,0:00:03.955000

	kv9ecle8,vyu55bsh,misinfoNet_outro,1,berlinIntro,0:00:04.445000,0,0:00:04.445000

	kv9ecle8,lzc6em7k,misinfoNet_intro,1,intoNet,0:00:37.395000,0,0:00:37.395000

	7st92i94,5q3r8266,misinfoNet_outro,1,gun,0:00:10.437000,0,0:00:10.437000

	wyk984vb,8ebxv6tp,misinfoNet_outro,1,demographics,0:00:12.852000,0:00:09.240000,0:00:22.092000

	kv9ecle8,e5f64etj,misinfoNet,3,table,0:01:40.123000,0:00:00,0:01:40.123000

	ntsj19eg,5l9593ei,misinfoNet_outro,1,politics,0:00:07.970000,0,0:00:07.970000

	ntsj19eg,7bsmmcs3,misinfoNet,1,dash,0:00:30.805000,0,0:00:30.805000

	kv9ecle8,4zij51kc,misinfoNet_outro,1,tableExplain,0:00:30.276000,0,0:00:30.276000

	kv9ecle8,lzc6em7k,misinfoNet,2,dash,0:00:32.968000,0,0:00:32.968000

	wyk984vb,hige4vwp,misinfoNet_outro,1,demographics,0:00:10.397000,0,0:00:10.397000

	7st92i94,fnhc7ftu,misinfoNet,1,dash,0:01:28.884000,0,0:01:28.884000

	7st92i94,fgzcb0nz,misinfoNet_outro,1,tableExplain,0:04:20.609000,0:00:09.522000,0:04:30.131000

	7st92i94,fnhc7ftu,misinfoNet_intro,1,welcome,0:01:13.317000,0:00:03.120000,0:01:16.437000

	kv9ecle8,4zij51kc,misinfoNet,4,table,0:00:31.759000,0:00:00,0:00:31.759000

	ntsj19eg,y5bz5lyf,misinfoNet_outro,1,demographics,0:00:18.800000,0,0:00:18.800000

	7st92i94,fgzcb0nz,misinfoNet,4,table,0:00:55.369000,0:00:10.842000,0:01:06.211000

	kv9ecle8,lzc6em7k,misinfoNet_outro,1,gun,0:00:23.149000,0,0:00:23.149000

	ntsj19eg,l3dcbq6v,misinfoNet_outro,1,feedback,0:00:33.818000,0:02:24.173000,0:02:57.991000

